HPLC_ID	Site	Experiment	Plant_ID	Type	Stg	Weight	Harvested	Extracted	Leachtime	Location	Batch	rand
7706	JAM	Field2014	kw_3164	rosette	R	2.4	28-Jun-14	19-Aug-14	52	p49_C_08	p49	0.451636857
7458	MAH	Field2014	kw_2346	rosette	R	2	12-Jun-14	19-Aug-14	68	p49_C_09	p49	0.451666345
7242	MAH	Field2014	kw_2089	rosette	R	4.6	12-Jun-14	19-Aug-14	68	p49_C_10	p49	0.452748208
6367	SIL	Field2014	kw_3211	rosette	FO	2.9	10-Jun-14	19-Aug-14	70	p49_C_11	p49	0.453175227
7759	JAM	Field2014	kw_2488	rosette	R	2.1	28-Jun-14	19-Aug-14	52	p49_C_12	p49	0.455741742
6358	ALD	Field2014	kw_0094	rosette	B	2.4	6-Jun-14	19-Aug-14	74	p49_D_01	p49	0.45623416
7080	SIL	Field2014	kw_3853	rosette	FO	2.4	10-Jun-14	19-Aug-14	70	p49_D_02	p49	0.457005397
6552	ALD	Field2014	kw_0526	rosette	R	7	6-Jun-14	19-Aug-14	74	p49_D_03	p49	0.457736904
6995	SIL	Field2014	kw_3754	rosette	B	3.1	10-Jun-14	19-Aug-14	70	p49_D_04	p49	0.457967607
6230	ALD	Field2014	kw_1143	rosette	B	3	6-Jun-14	19-Aug-14	74	p49_D_05	p49	0.458447651
6277	ALD	Field2014	kw_0269	rosette	B	2.8	6-Jun-14	19-Aug-14	74	p49_D_06	p49	0.459219865
6373	SIL	Field2014	kw_3228	rosette	FO	1.5	10-Jun-14	19-Aug-14	70	p49_D_07	p49	0.45944588
7084	SIL	Field2014	kw_3866	rosette	R	3.1	10-Jun-14	19-Aug-14	70	p49_D_08	p49	0.460408551
7697	JAM	Field2014	kw_3140	rosette	B	2	28-Jun-14	19-Aug-14	52	p49_D_09	p49	0.460556263
6649	ALD	Field2014	kw_1000	rosette	B	10	8-Jun-14	19-Aug-14	72	p49_D_10	p49	0.461035915
7570	MAH	Field2014	kw_2376	rosette	R	2.5	12-Jun-14	19-Aug-14	68	p49_D_11	p49	0.461196176
6398	SIL	Field2014	kw_3262	rosette	FO	2.2	10-Jun-14	19-Aug-14	70	p49_D_12	p49	0.46121248
6579	ALD	Field2014	kw_0880	rosette	B	2.7	8-Jun-14	19-Aug-14	72	p49_E_01	p49	0.461254947
