Plant_ID	Block	Genotype	Site	Obs	Date	Stg	TCO	H	rosLN	rosDLN	rosAD	DamPC
kw_0304	a.07	BVM	ALD	CR		B	1	66	0	0	0	0
kw_0305	a.07	WHC	ALD	CR		X						
kw_0306	a.07	RUB	ALD	CR		R	0	33	12	12	30	30
kw_0307	a.07	JAM	ALD	CR		X						
kw_0308	a.07	BSC	ALD	CR		B	0	100	1	7	30	210
kw_0309	a.07	FLF	ALD	CR		X						
kw_0310	a.07	EGM	ALD	CR		B	0	93	0	0	0	0
kw_0311	a.07	ECM	ALD	CR		X						
kw_0312	a.07	WHC	ALD	CR		X						
kw_0313	a.07	BSC	ALD	CR		X						
kw_0314	a.07	BVC	ALD	CR		FO	0	157	5	1	10	2
kw_0315	a.07	SIL	ALD	CR		X						
kw_0316	a.07	BHS	ALD	CR		X						
kw_0317	a.07	SAD	ALD	CR		X						
kw_0318	a.07	MFP	ALD	CR		X						
kw_0319	a.07	MAH	ALD	CR		X						
kw_0320	a.07	PCS	ALD	CR		B	0	161	11	4	10	3.636363636
kw_0321	a.07	MIL	ALD	CR		X						
kw_0322	a.07	PAR	ALD	CR		X						
kw_0323	a.07	ECM	ALD	CR		X						
kw_0324	a.07	IRF	ALD	CR		FO	0	149	1	1	20	20
kw_0325	a.07	SIL	ALD	CR		R	0	49	10	2	20	4
kw_0326	a.07	PCS	ALD	CR		X						
kw_0327	a.07	VNH	ALD	CR		X						
kw_0328	a.07	MFP	ALD	CR		X						
kw_0329	a.07	LTM	ALD	CR		B	0	75	0	0	0	0
kw_0330	a.07	MIL	ALD	CR		X						
kw_0331	a.07	DDW	ALD	CR		B	0	97	2	2	30	30
kw_0332	a.07	IRF	ALD	CR		R	0	29	12	19	19	30.08333333
kw_0333	a.07	SAD	ALD	CR		X						
kw_0334	a.07	EGM	ALD	CR		FO	0	158	0	0	0	0
kw_0335	a.07	BHM	ALD	CR		FO	0	161	0	0	0	0
kw_0336	a.07	THT	ALD	CR		X						
kw_0337	a.07	DDW	ALD	CR		X						
kw_0338	a.07	BNK	ALD	CR		X						
kw_0339	a.07	BHS	ALD	CR		FS	1	98	0	0	0	0
kw_0340	a.07	JAM	ALD	CR		B	1	52	2	2	30	30
kw_0341	a.07	FLF	ALD	CR		FO	0	92	0	0	0	0
kw_0342	a.07	BVC	ALD	CR		B	0	85	4	4	30	30
kw_0343	a.07	RUB	ALD	CR		R	1	39	13	13	20	20
kw_0344	a.07	HMC	ALD	CR		X						
kw_0345	a.07	BVM	ALD	CR		FO	0	132	0	0	0	0
kw_0346	a.07	LTM	ALD	CR		X						
kw_0347	a.07	VNH	ALD	CR		B	1	50	1	1	20	20
kw_0348	a.07	BHM	ALD	CR		X						
kw_0349	a.07	BNK	ALD	CR		X						
kw_0350	a.07	HMC	ALD	CR		X						
kw_0351	a.08	JAM	ALD	MW		FS	0	127	0	0	0	0
kw_0352	a.08	VNH	ALD	MW		B	0	80	4	4	15	15
kw_0353	a.08	FLF	ALD	MW		X						
kw_0354	a.08	MFP	ALD	MW		X						
kw_0355	a.08	IRF	ALD	MW		X						
kw_0356	a.08	SIL	ALD	MW		X						
kw_0357	a.08	WHC	ALD	MW		FO	0	205	6	2	15	5
kw_0358	a.08	BNK	ALD	MW		R	0	23	11	3	15	4.090909091
kw_0359	a.08	ECM	ALD	MW		FS	0	117	0	0	0	0
kw_0360	a.08	MAH	ALD	MW		FS	0	170	4	0	0	0
kw_0361	a.08	SAD	ALD	MW		X						
kw_0362	a.08	BHM	ALD	MW		FS	0	240	3	1	30	10
kw_0363	a.08	THT	ALD	MW		X						
kw_0364	a.08	PAR	ALD	MW		B	1	12	4	3	60	45
kw_0365	a.08	BHS	ALD	MW		X						
kw_0366	a.08	VNH	ALD	MW		R	0	43	10	3	10	3
kw_0367	a.08	LTM	ALD	MW		FS	0	193	0	0	0	0
kw_0368	a.08	MAH	ALD	MW		X						
kw_0369	a.08	MIL	ALD	MW		FS	0	240	0	0	0	0
kw_0370	a.08	BVC	ALD	MW		B	1	126	6	3	10	5
kw_0371	a.08	RUB	ALD	MW		X						
kw_0372	a.08	DDW	ALD	MW		B	1	55	6	6	10	10
kw_0373	a.08	MIL	ALD	MW		X						
kw_0374	a.08	BHM	ALD	MW		X						
