HPLC_ID	RetTime	Area	GS
7483	1.782	599.55	sinigrin	
7483	3.365	27.45	1ME	
7483	5.8	55.0	6MSOH	
sinigrin51	1.84	895.44	sinigrin	
7039	1.789	617.7	sinigrin	
7039	3.356	629.08	1ME	
7039	6.066	40.97	1MP	
7648	1.255	1890.68	2OH1ME	
7648	1.773	746.72	sinigrin	
7648	3.341	1421.89	1ME	
7648	5.788	238.09	6MSOH	
7069	1.893	674.74	sinigrin	
7069	3.545	439.15	1ME	
7069	5.867	61.95	6MSOH	
7069	6.168	250.1	1MP	
6909	1.894	728.44	sinigrin	
6909	3.552	1007.55	1ME	
6909	5.863	146.38	6MSOH	
6909	6.164	166.41	1MP	
7006	1.326	1207.69	2OH1ME	
7006	1.881	683.97	sinigrin	
7006	3.53	540.87	1ME	
7006	5.864	498.3	6MSOH	
7006	6.168	6.58	1MP	
7521	1.834	703.44	sinigrin	
7521	3.443	1083.93	1ME	
7521	5.823	317.55	6MSOH	
7521	6.103	249.84	1MP	
7640	1.789	625.9	sinigrin	
7640	3.379	1717.16	1ME	
7640	5.804	42.1	6MSOH	
7640	6.076	79.25	1MP	
7699	1.322	868.37	2OH1ME	
7699	1.877	667.95	sinigrin	
7699	3.516	301.88	1ME	
7699	5.859	837.93	6MSOH	
6272	1.848	769.81	sinigrin	
6272	3.467	72.54	1ME	
6272	6.133	8.9	1MP	
6650	1.761	649.88	sinigrin	
6650	3.317	542.38	1ME	
6650	5.786	200.02	6MSOH	
6650	6.051	296.24	1MP	
7643	1.828	684.52	sinigrin	
7643	3.433	672.69	1ME	
7643	5.827	46.38	6MSOH	
7643	6.106	68.92	1MP	
7216	1.284	57.4	2OH1ME	
7216	1.827	569.73	sinigrin	
7216	3.434	58.8	1ME	
7216	5.824	201.6	6MSOH	
7561	1.89	784.05	sinigrin	
7561	3.546	39.41	1ME	
7561	5.863	1887.77	6MSOH	
6269	1.896	624.25	sinigrin	
6269	3.549	146.53	1ME	
6269	6.163	25.64	1MP	
7429	1.773	626.49	sinigrin	
7429	3.343	122.82	1ME	
7429	5.792	17.83	6MSOH	
7429	6.06	66.94	1MP	
6627	1.821	613.08	sinigrin	
6627	3.424	39.31	1ME	
6627	5.819	2336.59	6MSOH	
6429	1.812	636.71	sinigrin	
6429	3.413	229.41	1ME	
6429	5.828	7.79	6MSOH	
6429	6.095	78.04	1MP	
6353	1.776	615.19	sinigrin	
6353	3.351	1343.44	1ME	
6353	5.798	31.85	6MSOH	
6353	6.068	34.82	1MP	
7340	1.879	695.82	sinigrin	
7340	5.865	440.34	6MSOH	
6872	1.852	597.0	sinigrin	
6872	3.492	214.54	1ME	
